id,subseccion,idea,citas,veredicto,pagina_traza,tipo_problema,accion,idea_real_fuente,evidencia_textual,refuerzo_pico,notas
DIS-LIN-04,Linajes SARS,La secuenciacion de aguas identifica variantes regionalmente prevalentes con cobertura suficiente,Crits_Christoph_2021,OK,p.1/3,,mantener,,"""Genome sequencing of sewage detects regionally prevalent SARS-CoV-2 variants"" (titulo); ""consensus genotypes identical to clinical genomes from the region"" (crits-christoph-2021, p.1/3)","PICOC[P: SARS-CoV-2 en aguas residuales; I: secuenciacion de aguas; C: vs deteccion clinica; O: deteccion temprana de variantes prevalentes; C: vigilancia comunitaria] — ""We detected emerging variants of concern up to 14 days earlier in wastewater samples,"" (Karthikeyan_2022, p.1)",Confirmado.
DIS-LIN-05,Linajes SARS,"Ecuador secuencio 12 619 genomas (2020-2024), 1.15% de casos",Bruno_2025,OK,p.4-5,,mantener,,"""For Ecuador, a total number of 12,619 was obtained for the period of January 1st 2020 to December 31st 2024"" (p.4); ""1.15% for Ecuador"" (bruno-2025, p.5)","PICOC[P: casos de SARS-CoV-2 en Ecuador; I: secuenciacion genomica; C: genomas vs total de casos; O: 12,619 genomas = 1.15% de casos; C: Comunidad Andina 2020-2024] — ""For Ecuador, a total number of 12,619 was obtained for the period of January 1st 2020 to December 31st 2024"" (Bruno_2025, p.4)",Corregido en esta auditoria.
DIS-LIN-06,Linajes SARS,"Cayo a 744 en 2024, serie termina 2024 con JN.1 dominante, no cubre 2025",Bruno_2025,OK,p.4,matiz,mantener,,"""744 for 2024"" ; ""23I (JN.1) has been dominant along 2024"" (bruno-2025, p.4)","PICOC[P: genomas de SARS-CoV-2 de Ecuador; I: secuenciacion por ano; C: entre anos 2020-2024; O: caida a 744 en 2024, serie termina 2024; C: Ecuador] — ""distributed as 814 for 2020, 4,018 for 2021, 5,102 for 2022, 1,796 for 2023, and 744 for 2024."" (Bruno_2025, p.4)",Dominancia a escala regional andina.
DIS-LIN-07,Linajes SARS,La senal ambiental aporta registro genomico local donde falta referente clinico,Parkins_2023,OK,p.2,,mantener,,"""unique ability to monitor an entire population irrespective of...access clinical testing"" (parkins-2023, p.2)","PICOC[P: SARS-CoV-2 en aguas residuales; I: secuenciacion de aguas; C: vs esfuerzos clinicos locales; O: identifica genotipos no observados en clinica; C: registro genomico local] — ""variants not yet observed in local clinical sequencing efforts."" (Crits_Christoph_2021, p.2)",Confirmado.
DIS-ENT-01,Enterovirus,OMS espera NPEV en >=30% de muestras concentradas y 10% de trampas,OReilly_2020;Bubba_2023,PARCIAL,Bubba p.2,atribucion_incorrecta,corregir,El desglose 30/10% es de Bubba; O'Reilly da rango global 10-30%.,"Bubba: ""at least 30% of concentrated sewage from grab samples and at least 10% of traps should reveal NPEV"" (microorganisms-11-02496, p.2). O'Reilly: ""10-30% of samples should reveal non-polio enteroviruses"" (S2666524720301002, e189)","PICOC[P: enterovirus no-polio (NPEV) en aguas; I: vigilancia ambiental/WWS; C: umbral de deteccion esperado; O: 10-30% de muestras deberian revelar NPEV; C: red europea/OMS] — ""at least 10-30% of samples should reveal non-polio"" (OReilly_2020, p.1)",Reasignar la cifra a Bubba.
DIS-ENT-02,Enterovirus,"2 de 22 (9%), por debajo del 10%, refleja menor sensibilidad del muestreo pasivo",Rozanec_2026,OK,p.10,,mantener,,"""systems that use concentrated grab samples...more frequently detect polioviruses and NPEV than those using trap samples"" (microorganisms-14-00861/Rozanec, p.10)","PICOC[P: enterovirus en aguas; I: muestreo pasivo/WWS; C: vs metodos de mayor rendimiento; O: menor sensibilidad; C: vigilancia ambiental] — ""however, the sensitivity of WWS is reduced. The lower sensitivity of the WWS system means that a higher number of in-"" (Rozanec_2026, p.9)",El 2/22 es dato propio.
DIS-ENT-03,Enterovirus,El esquema detecto enterovirus que la vigilancia de PFA no registra,Asghar_2014,OK,p.2,matiz_terminologia,mantener,,"""can assist in identifying residual...transmission...among those who are asymptomatically infected and not showing signs of paralysis"" (asghar-2014, p.2)","PICOC[P: poliovirus/enterovirus en agua; I: vigilancia ambiental (ES); C: vs vigilancia de PFA/AFP; O: deteccion sin casos clinicos registrados; C: complemento a AFP] — ""found in Lahore in the absence of AFP cases, which allowed the program to continue the"" (Asghar_2014, p.4)","Asghar habla de poliovirus, no 'enterovirus' generico."
DIS-ENT-04,Enterovirus,Ausencia de poliovirus concuerda con IPV en Ecuador y ausencia de circulacion,Zurbriggen_2008;Asghar_2014,NO,Zurbriggen abstract,contradiccion,reemplazar,"Zurbriggen (Suiza, IPV) SI aislo poliovirus. Contradice 'ausencia'.","Zurbriggen: ""20 out of 174 wastewater samples were positive...62 Sabin-like poliovirus isolates"" (zurbriggen-2008, abstract)","PICOC[P: poliovirus en aguas residuales; I: vigilancia ambiental decadal; C: pais con IPV/historial de erradicacion; O: ausencia de poliovirus salvaje (WPV); C: Europa/Eslovaquia] — ""Of these, 1062 were PVs, WPVs were not found."" (Kissova_2022, p.4)",GRAVE. Quitar Zurbriggen de 'ausencia'; reubicar como ejemplo IPV+deteccion.
DIS-ENT-05,Enterovirus,"Canada 2022: VDPV2 99.4% VP1 vs caso de Nueva York, sin poliomielitis, excrecion por viajero",Seo_2025,PARCIAL,p.1/4,cifra_mal_atribuida,corregir,99.4% es vs Londres; vs Nueva York fue 99.0%.,"""99.0% identical in VP1 to the...New York case"" ; ""99.4%...to the London isolate"" (s41598-025-92912-x/Seo, p.1/4)","PICOC[P: VDPV2 en aguas de Canada; I: secuenciacion VP1/genoma; C: vs aislados de Londres y del caso de Nueva York; O: 99.4% (Londres) y 99.0% (Nueva York) de identidad; C: brote transnacional 2022] — ""Pair-wise analysis of the VP1 region revealed 99.4% identity with other environmental VDPV2 isolates sequenced from UK London sewage (OP410366.1) and 99.0% identity with the clinical isolate from New York State, USA-NY-22 (OP265178.1)."" (Seo_2025, p.3)",Corregir a 99.0% vs Nueva York.
DIS-ENT-06,Enterovirus,Cultivo no rindio; PCR anidada + Nanopore recuperaron la secuencia,Seo_2025,OK,p.5,matiz_terminologia,mantener,,"""Culture isolation...were unsuccessful. Concurrently, PCR amplification directly from the wastewater specimen followed by sequencing...using Nanopore...resulted in successful sequencing"" (Seo, p.5)","PICOC[P: poliovirus en aguas residuales; I: PCR anidada + Nanopore vs cultivo; C: metodo directo vs cultivo; O: recuperacion de la secuencia; C: vigilancia ambiental] — ""great promise for environmental surveillance applications uses nested PCR followed by Nanopore sequencing"" (Seo_2025, p.2)","Seo usa PCR DIRECTA, no anidada; ajustar termino."
DIS-ENT-07,Enterovirus,La secuenciacion de VP1 diferencia cepas derivadas de vacuna de salvajes,Klapsa_2022,OK,p.1532,,mantener,,"""to distinguish vaccine-related from wild-type polioviruses...the gene coding for capsid VP1 protein is commonly used"" (PIIS0140673622018049/Klapsa, p.1532)","PICOC[P: poliovirus; I: secuenciacion de VP1; C: cepas derivadas de vacuna vs salvajes; O: clasificacion por cambios en VP1; C: vigilancia molecular] — ""meet the criterion for a vaccine-derived poliovirus, having six to ten nucleotide changes in the gene coding for VP1 capsid protein."" (Klapsa_2022, p.1)",Confirmado.
DIS-RSV-01,RSV,"Genomas completos de RSV exigen cargas altas, cobertura >10 000 copias/mL",Le_2025,OK,p.1/4,,mantener,,"""whole genomes...obtained from 98% of samples with >10,000 copies/mL...none from samples with <1,000 copies/mL"" (s41598-025-20371-5/Le, abstract)","PICOC[P: RSV en aguas residuales; I: secuenciacion de genoma completo; C: entre niveles de carga viral; O: genomas completos solo con >10,000 copias/mL; C: recuperacion genomica RSV] — ""Complete genomes (coverages > 90%) were resolved from 118 of 122 (97%) samples with a viral load of > 10,000 copies/mL"" (Le_2025, p.4)",Umbral confirmado.
DIS-RSV-02,RSV,RSV envuelto: recuperacion cae del 71% al 17% (ARN empaquetado vs desnudo),ToribioAvedillo_2024,OK,p.1/5,matiz,mantener,,"""recovery efficiencies for...free...RSV RNA were...71%...in wastewater, whereas...in lentiviral particles were...17% in wastewater"" (S0048969724007757/Toribio, abstract/p.5)","PICOC[P: RSV (virus envuelto) en aguas; I: recuperacion de ARN vs particulas; C: ARN libre/desnudo vs particula empaquetada; O: menor recuperacion de la particula; C: aguas residuales] — ""The recovery of free RNA of both viruses surpassed that of particles,"" (ToribioAvedillo_2024, p.7)",Especifico de wastewater; surrogado lentiviral.
DIS-RSV-03,RSV,RSV-A 32.6% vs RSV-B 2.4% en 8 plantas del sureste de Alemania; recuperacion depende de concentracion/extraccion,Geissler_2025,OK,p.1/4,,mantener,,"""32.6% (RSV-A) and 2.4% (RSV-B)"" ; ""virus enrichment and RNA extraction methods were found to be of relevance"" (s41598-025-13998-x/Geissler, abstract)","PICOC[P: RSV-A y RSV-B en aguas; I: RT-qPCR con metodos de concentracion/extraccion; C: RSV-A vs RSV-B; O: 32.6% (RSV-A) vs 2.4% (RSV-B) de deteccion; C: 8 PTAR de Alemania] — ""4.5% (IVB), 32.6% (RSV-A) and 2.4% (RSV-B)."" (Geissler_2025, p.1)",Cifras exactas.
DIS-RSV-04,RSV,La asociacion RSV-aguas/comunidad proviene mas de cuantificacion que de secuenciacion,Hughes_2022,OK,p.1/6,,mantener,,"Hughes cuantifica RSV en solidos y correlaciona con positividad clinica (Kendall tau 0.65-0.77) (rsv-rna-settled-solids-reflects-positivity/Hughes, abstract)","PICOC[P: RSV en aguas residuales; I: cuantificacion (RT-qPCR) en solidos; C: vs positividad clinica; O: asociacion fuerte de la concentracion con la clinica; C: EE.UU.] — ""concentration in settled solids is strongly associated (Kendalls tau = 0.65-0.77, p < 10-7) with clinical positivity rates for RSV"" (Hughes_2022, p.1)",Ejemplo via cuantificacion.
DIS-CONS-01,Conservacion,El rendimiento del muestreo pasivo dependio de integridad del ARN y eficiencia de recuperacion,MejiaCalle_2024,OK,p.41/57/61,,mantener,,"""very late CT values...likely due to viral RNA fragmentation"" (p.41); dispositivo ""improves virus recovery"" (00331348-MejiaCalle, p.57/61)","PICOC[P: virus en aguas residuales/muestreo pasivo; I: concentracion y extraccion de ARN; C: entre metodos; O: el rendimiento depende del enriquecimiento/extraccion; C: optimizacion metodologica] — ""virus enrichment and RNA extraction methods were found to be of relevance."" (Geissler_2025, p.1)",Confirmado.
CON-RES-01,Resumen,Clados 24A (JN.1/LZ.5/LU.2.1.1) y 24H (LF.7.1.3),MejiaCalle_2024;Crits_Christoph_2021,VAGA,Crits abstract,cita_no_respalda_linajes,corregir,Clados = salida Nextclade; citas no los contienen. Bruno menciona JN.1 dominante 2024.,"Bruno: ""23I (JN.1), the latest dominant along 2024"" (bruno-2025, p.4). Crits/MejiaCalle NO contienen 24A/24H.","PICOC[P: SARS-CoV-2 región andina / I: vigilancia genómica, linajes-clados / O: JN.1 dominante / C: Comunidad Andina] — ""evolving into multiple sub variants lineages like 22F, 23A, and 23I. This last lineage 23I (JN.1) has been dominant along 2024."" (Bruno_2025, p.4)",Reasignar: Nextclade (propio) + Bruno.
CON-RES-02,Resumen,PCR anidada caracterizo Coxsackievirus A en dos muestras,Bubba_2023;Asghar_2014,OK,Bubba/Asghar,,mantener,,Bubba documenta enterovirus/NPEV de interes en vigilancia ambiental (microorganisms-11-02496),"PICOC[P=aguas residuales/enterovirus; I=vigilancia molecular en aguas; O=coxsackievirus A detectado; C=cultivo/sewage] — ""The prevalence of CVAs in the SR was previously low in the sewage, although these viruses have also increased over the last 20 years"" (Kissova_2022, p.7)",Deteccion = dato propio.
CON-RES-03,Resumen,"RSV: senal en 4 muestras, cobertura insuficiente para subgrupo",Le_2025;Hughes_2022,OK,Le p.1,,mantener,,"Le: genomas solo con >10,000 copias/mL (s41598-025-20371-5, abstract)","PICOC[P=RSV en aguas residuales; I=subtipificación A/B por RT-PCR; C=cuantificación vs asignación de subtipo; O=muestra untypable si no hay señal detectable de A ni B] — ""Samples were considered to be untypable if both RSV A and RSV B were not detected."" (Zambrana_2024, p.7)",Baja carga impide subtipar.
CON-LIM-01,Limitaciones,Cq altos -> cobertura insuficiente -> separa deteccion de caracterizacion,Parkins_2023;Child_2023,OK,Child p.1,,mantener,,"Child: la shotgun no dirigida es inadecuada a baja concentracion viral (child-et-al-2023, abstract)","PICOC[P=aguas residuales; I=RT-qPCR+secuenciación; O=cobertura/recuperación de genoma según Cq; C=contraste detección vs caracterización] — ""We obtained complete consensus SARS-CoV-2 genomes (breadth of coverage >99%) from 7 of 22 samples (31%)... Only samples with RT-qPCR CT values <33 (~25 genome copies/ml) yielded complete consensus genomes"" (Crits_Christoph_2021, p.3)",Semana 10 = dato propio.
CON-LIM-02,Limitaciones,Muestras retrospectivas (Shield 2X/PBS 1X) no rindieron secuencia -> degradacion,MejiaCalle_2024,PARCIAL,MejiaCalle,resultado_propio,mantener,Buffers/fallo = dato propio; MejiaCalle da contexto.,(dato propio; MejiaCalle antecedente),"PICOC[P=aguas residuales; I=muestreo/procesamiento; O=integridad del ARN; C=contexto degradación/conservación] — ""The need to process samples immediately after device deployment to prevent RNA degradation is critical."" (MejiaCalle_2024, p.61)",Dejar explicito como dato propio.
CON-LIM-03,Limitaciones,Diseno temporal con escaso solapamiento; SARS no analizado sem 43-56,(sin cita),SIN_FUENTE,n/a,dato_propio,mantener,,n/a (dato propio de diseno),"PICOC[P=aguas residuales; I=vigilancia genómica temporal; O=detección de linajes de baja frecuencia; C=contexto duración/muestreo sostenido] — ""cryptic lineages with lower viral loads may require more consistent and long-term monitoring to be effectively detected."" (MejiaCalle_2024, p.61)",Correcto sin cita.
CON-LIM-04,Limitaciones,Datos genomicos clinicos limitados de SARS en Ecuador restringieron la comparacion,Bruno_2025,PARCIAL,Bruno p.5,inferencia,corregir,"Bruno no dice 'limitados'; usar 12.619/1,15%.","Bruno: ""1.15% for Ecuador"" (bruno-2025, p.5) — no califica como 'limitado' textualmente","PICOC[P: SARS-CoV-2 / I: secuenciación genómica (GISAID) / C: entre países / O: disparidades/escasez de genomas / C: Comunidad Andina, LMIC] — ""The analysis of GISAID database revealed significant regional disparities in SARS-CoV-2 sequencing efforts"" (Bruno_2025, p.7)",Usar el dato real en vez de la inferencia.
CON-LIM-05,Limitaciones,22 muestras de un sitio; sesgos de paneles dirigidos afectan variantes de baja abundancia,Child_2023,PARCIAL,Child p.1,matiz,corregir,"Child respalda limite de metodos dirigidos, no textual el 'sesgo de baja abundancia'.","Child: metodos dirigidos limitados a los objetivos y requieren conocimiento previo del genoma (child-et-al-2023, abstract)","PICOC[P=aguas residuales/mezclas; I=secuenciación dirigida+clasificación de linajes; O=variantes de baja abundancia no resueltas; C=contraste muestra clínica de variante única vs mezcla] — ""tools for SARS-CoV-2 lineage classification, such as pangolin and UShER, were designed for clinical samples containing a single dominant variant, and cannot estimate relative abundances of multiple SARS-CoV-2 lineages in samples with virus mixtures such as wastewater."" (Karthikeyan_2022, p.1)",22/sitio = dato propio.
CON-LIM-06,Limitaciones,"Cebadores VP1 amplificaron VP4, no confirmaron serotipo",(sin cita),SIN_FUENTE,n/a,dato_propio,mantener,,n/a (dato propio de laboratorio),"PICOC[P=poliovirus/enterovirus; I=tipificación por secuenciación; O=serotipo definido por VP1; C=región genómica] — ""are sequenced for Viral Protein 1 region (VP1) (~900-nucleotide stretch) of the poliovirus genome following standardized procedures using standardized sequencing primer sets. VP1 region encodes several serotype specific antigenic sites"" (Martin_2016, p.28)",Correcto sin cita.
CON-IMP-01,Importancia,3 virus con flujo comun confirma esquema multipatogeno y valor de la vigilancia ambiental,Bubba_2023;Asghar_2014;Parkins_2023,OK,Parkins p.2,,mantener,,"Parkins: WBS ""irrespective of...clinical testing"" (parkins-2023, p.2)","PICOC[P=aguas residuales; I=vigilancia ambiental+secuenciación; O=detección temprana/respuesta de salud pública; C=contraste con vigilancia clínica] — ""Environmental surveillance allowed early detection of poliovirus importation and circulation in London, permitting a rapid public health response, including enhanced surveillance and an inactivated polio vaccine campaign among children aged 1–9 years."" (Klapsa_2022, p.1)",Bien soportado.
CON-IMP-02,Importancia,Seleccionar por Cq y amplificar en PCR previa concentra el esfuerzo en muestras utiles,MejiaCalle_2024;Parkins_2023,OK,Parkins,,mantener,,Parkins: RT-qPCR y secuenciacion por amplicon-tiling; carga condiciona exito (parkins-2023),"PICOC[P=aguas residuales; I=RT-qPCR+secuenciación por amplicones; O=cobertura de genoma según Cq; C=selección de muestras útiles por carga] — ""High genome coverage breadth was obtained for SARS-CoV-2 across all samples with tiled-PCR amplification (Fig. 4a), which was significantly correlated with the Ct values from RT-qPCR"" (Child_2023, p.6)",Coherente.
CON-IMP-03,Importancia,Lectura corta o enriquecimiento podrian mejorar recuperacion a baja carga,Child_2023,OK,Child p.1,,mantener,,"Child: ""Hybrid-capture enrichment of shotgun libraries...led to significant increases in genome coverage"" (child-et-al-2023, abstract)","PICOC[P=aguas residuales; I=secuenciación de lectura corta+avances de concentración; O=recuperación de genoma a baja carga; C=contraste con estudios previos] — ""We obtained near 95% genome coverage even for samples with low viral load, compared with 40% or below from previous studies, a key advance that allowed us to build a robust pipeline to monitor virus lineage prevalence in community wastewater."" (Karthikeyan_2022, p.1)",Respaldo directo.
CON-IMP-04,Importancia,"Mas muestras/replicas, integrar datos clinicos/repositorios, mantener VP1 fortalecen la vigilancia",Le_2025;Bruno_2025;Klapsa_2022,OK,Klapsa/Le/Bruno,,mantener,,Klapsa: VP1 para poliovirus/VDPV (PIIS0140673622018049),"PICOC[P=aguas residuales; I=vigilancia (WBS)+integración; O=mitigación de brotes; C=integración con estrategias de vigilancia poblacional] — ""integrating WBS of SARS-CoV-2 into surveillance strategies at correctional facilities may minimize the impact of future COVID-19 outbreaks"" (Parkins_2023, p.30)",VP1->Klapsa correcto.
INTROA-ANT-01,Antecedentes,WBE complementa la vigilancia clinica e integra senales de la comunidad conectada al alcantarillado,Sims_2020,OK,Sims p.1,,mantener,,"""WBE...has potential to act as a complementary approach for current infectious disease surveillance systems and an early warning system...through the analysis of population pooled wastewater...monitored comprehensively and in real-time"" (sims-2020, p.1)","PICOC[P: aguas residuales/SARS-CoV-2 en poblaciones monitoreadas / I: vigilancia WBS / O: correlacion con clinica e indicador adelantado] — ""not only did WBS-measured SARS-CoV-2 RNA correlate strongly with COVID-19 clinical disease within monitored populations but also, in fact, it functioned as a leading indicator"" (Parkins_2023, p.2)",OK.
INTROA-ANT-02,Antecedentes,El ARN de SARS-CoV-2 en aguas refleja circulacion comunitaria aun con limitaciones/retrasos de la clinica,Ahmed_2020;Medema_2020,OK,Ahmed p.1,fuente_faltante,mantener,Medema FALTA en repo; cubierto por co-cita Ahmed.,"""the model estimated a median range of 171 to 1,090 infected persons...in reasonable agreement with clinical observations"" (ahmed-2020, p.1)","PICOC[P: aguas residuales agrupadas de la poblacion / I: WBE / O: monitoreo comunitario integral y en tiempo real] — ""WBE postulates that through the analysis of population pooled wastewater, infectious disease and resistance spread, the emergence of new disease outbreak to the community level can be monitored comprehensively and in real-time"" (Sims_2020, p.1)",Medema SIN PDF; riesgo bajo.
INTROA-ANT-03,Antecedentes,"La secuenciacion paso de deteccion a vigilancia genomica (linajes, variantes, diversidad)",Crits_Christoph_2021,OK,Crits p.1,,mantener,,"""wastewater sequencing can provide evidence for recent introductions of viral lineages before they are detected by local clinical sequencing"" (crits-christoph-2021, p.1)","PICOC[P: SARS-CoV-2 en aguas residuales / I: secuenciacion/vigilancia genomica / O: mayor diversidad genetica y linajes / C: aguas vs clinica] — ""the genetic diversity of SARS-CoV-2 is significantly greater in wastewater samples than clinical samples"" (Karthikeyan_2022, p.102)",OK.
INTROA-ANT-04,Antecedentes,Vigilancia ambiental de poliovirus complementa PFA y detecta circulacion silenciosa,Asghar_2014,OK,Asghar p.1-2,,mantener,,"""ES complements clinical acute flaccid paralysis (AFP) surveillance...can assist in identifying residual WPV transmission...among those who are asymptomatically infected and not showing clinical signs of paralysis"" (asghar-2014, p.1-2)","PICOC[P: poliovirus en aguas residuales / I: vigilancia ambiental / C: complemento de la vigilancia clinica de PFA, contexto GPEI] — ""Since 2016, the initiative has invested heavily in environmental surveillance in low-income and middle-income countries as a supplement to surveillance for cases of acute flaccid paralysis."" (Klapsa_2022, p.1532)",OK.
INTROA-ANT-05,Antecedentes,El ARN de RSV se detecta en aguas y se relaciona con positividad clinica,Hughes_2022,OK,Hughes p.1,,mantener,,"""RSV genomic ribonucleic acid can be detected in wastewater settled solids...strongly associated (Kendall's tau = 0.65-0.77, p<10-7) with clinical positivity rates for RSV"" (hughes, p.1)","PICOC[P: aguas residuales/ARN de RSV / I: medicion y comparacion con vigilancia (EBAR-WBE) / O: correlacion con positividad y hospitalizacion clinica / C: EE.UU. 2022-2023] — ""We measured RSV RNA concentrations in wastewater solids from 176 sites during the 2022-2023 RSV season and compared those to publicly available RSV infection positivity and hospitalization rates... RSV RNA concentration aggregated at state and national levels correlated with infection positivity and hospitalization rates"" (Zulli_2024, p.1657)",OK (incluye tau).
