id,estado,evidencia_textual,refuerzo_pico,nota_contexto
CON-IMP-02,CONFIRMADO,"""High genome coverage breadth was obtained for SARS-CoV-2 across all samples with tiled-PCR amplification (Fig. 4a), which was significantly correlated with the Ct values from RT-qPCR"" (child-et-al-2023, p.6)","""High genome coverage breadth was obtained for SARS-CoV-2 across all samples with tiled-PCR amplification (Fig. 4a), which was significantly correlated with the Ct values from RT-qPCR"" (child-et-al-2023, p.6)","Child liga la cobertura del genoma al Cq y a la amplificacion por tiled-PCR, respaldando que seleccionar por Cq y amplificar en PCR previa concentra el esfuerzo en muestras utiles."
CON-IMP-03,CONFIRMADO,"""Hybrid-capture enrichment of shotgun libraries for respiratory viruses led to significant increases in genome coverage for a range of targets"" (child-et-al-2023, abstract p.1)","""...near 95% genome coverage even for samples with low viral load, compared with 40% or below from previous studies"" (s41586-022-05049-6, p.1)","Child (enriquecimiento por hibridacion) y Karthikeyan (~95% cobertura a baja carga) respaldan que el enriquecimiento o la lectura corta mejorarian la recuperacion a baja carga."
CON-IMP-04,CONFIRMADO,"Klapsa sustenta VP1 para poliovirus/VDPV (PIIS0140673622018049, p.1)","""Riback et al. indicated that integrating WBS of SARS-CoV-2 into surveillance strategies at correctional facilities may minimize the impact of future COVID-19 [outbreaks]"" (parkins-2023, p.30)","Le/Bruno/Klapsa y Parkins respaldan la integracion de la vigilancia (mas muestras, datos clinicos y repositorios, VP1 para enterovirus) como via para fortalecer el esquema."
RES-ENC-01,CONFIRMADO,"Conteos y rendimiento por virus (42/22/22 muestras; 6/2/0 caracterizadas): dato propio de las tablas del estudio","sin refuerzo externo (dato propio; no hay cita que contradiga)","Fila de conteos propios; no hay cita involucrada que verificar en contexto, solo cifras de las tablas de resultados."
RES-CUANT-01,CORREGIDO,"Valores de Cq del gen N1 por grupo (34,0 / 36,6 / 38,5) con rangos solapados: dato propio medido","""Only samples with RT-qPCR CT values <33 (~25 genome copies/ml) yielded complete consensus genomes"" (crits-christoph-2021, p.3)","El refuerzo tenia la unidad erronea (copies/uL); la fuente dice ""copies/ml"". Corregido. Crits liga el umbral CT<33 al genoma completo, respaldando la relacion Cq-cobertura de los datos propios."
RES-SARS-01,CONFIRMADO,"""se detecto el linaje JN.1 durante los picos de infeccion en Quito, en octubre de... y en algunos casos, incluso antes de ser identificadas [clinicamente]"" (00331348-MejiaCalle, resumen)","""WBE data to identify changes in community disease dynamics prior to clinical diagnoses is consistently reported, with the lead time varying [from study to study]"" (Acosta_2022 watres, p.7)","MejiaCalle documenta JN.1 en la PTAR Quitumbe antes de su identificacion clinica; Acosta respalda el 'lead time' de las aguas frente a la clinica. Contexto coherente con la idea."
RES-SARS-02,CONFIRMADO,"""Genome Sequencing of Sewage Detects Regionally Prevalent SARS-CoV-2 Variants"" (crits-christoph-2021, p.1)","""...wastewater genomics can support SARS-CoV-2 epidemiological investigations by reliably recovering the prevalence of local circulating variants, even when clinical samples are not available"" (s41467-023-41369-5/Yousif, p.1)","Crits (titulo/hallazgo) y Yousif respaldan que la secuenciacion de aguas identifica variantes regionalmente prevalentes."
RES-SARS-03,CONFIRMADO,"""aunque el SARS-CoV-2 seguia siendo detectable, solo se identificaron secuencias conservadas, lo que llevo a la asignacion incorrecta de linajes"" (00331348-MejiaCalle, resumen)","""One previous study using the same hybrid-capture panel... [Ct values <33], while sequencing without enrichment yielded a maximum of 40 read pairs"" (child-et-al-2023, p.12)","MejiaCalle y Child respaldan que a Cq tardios/baja carga solo se recupera senal conservada, coherente con la brecha entre deteccion y caracterizacion."
RES-SARS-04,CONFIRMADO,"Baja proporcion de lecturas de SARS-CoV-2 en la matriz (dato propio/Parkins como marco de vigilancia genomica)","""Low viral loads, heavily fragmented RNA and PCR inhibitors in complex environmental samples lead to poor sequencing coverage"" (s41586-022-05049-6/Karthikeyan, p.1)","Karthikeyan respalda que la baja carga y el ARN fragmentado producen cobertura pobre, coherente con la insuficiencia de cobertura a Cq tardios."
RES-SARS-05,CONFIRMADO,"""samples dominated by bacteria""; ""the sewage virome is dominated by bacteriophages and plant viruses"" (child-et-al-2023, abstract/p.1)","""Without enrichment, we were able to only detect fewer than 40 total SARS-CoV-2 read pairs... this illustrates the difficulty of detecting specific viruses in wastewater"" (crits-christoph-2021, p.3)","Child y Crits respaldan la dificultad de recuperar genomas en matrices dominadas por material no diana (bacterias, fagos, virus vegetales)."
RES-ENT-01,CONFIRMADO,"""Wastewater Surveillance in Europe for Non-Polio Enteroviruses"" (microorganisms-11-02496, p.1)","""Thus NPEV should be always be detected in wastewater and can be used as control of the overall procedures"" (microorganisms-11-02496/Bubba, p.2)","Bubba respalda que la vigilancia ambiental recupera enterovirus no polio, en linea con la recuperacion de enterovirus por el flujo propio."
RES-ENT-02,CONFIRMADO,"""...isolates in the absence of WPV-positive AFP cases from the same area... where either no AFP cases have yet occurred or are cases have been underreported"" (asghar-2014, p.4)","""...isolates in the absence of WPV-positive AFP cases from the same area, thereby enabling a focus on preventive action"" (asghar-2014, p.4)","Asghar respalda que la vigilancia ambiental detecta circulacion que la vigilancia de PFA (AFP) no capta. Caveat: Asghar es especifico de poliovirus/WPV; la tesis lo extiende a 'enterovirus' (el poliovirus es un enterovirus, por lo que el principio aplica)."
RES-ENT-03,CONFIRMADO,"""As a supplementary system to clinical diagnosis, wastewater-based poliovirus surveillance offers the opportunity to detect... at an early stage"" (eurosurv-30-3-1/Bottcher, p.1)","""...potentially allowing circulation without detection of paralytic cases for long periods of time"" (PIIS0140673622018049/Klapsa, p.1)","Bottcher (cVDPV2) y Klapsa respaldan que la vigilancia molecular ambiental detecta circulacion silenciosa que la clinica no ve. Caveat: Bottcher trata poliovirus (cVDPV2), no enterovirus no polio; el poliovirus es enterovirus, el principio sostiene la idea."
RES-ENT-04,CONFIRMADO,"""Isolation of Sabin-Like Polioviruses from Wastewater in a Country Using Inactivated Polio Vaccine""; ""...not consistent with extended circulation"" (zurbriggen-2008, p.1)","""(IPV), which provides limited protection against infection, could contribute to reduced surveillance sensitivity"" (lago2003/MasLago, p.2)","Zurbriggen (pais con IPV, sin circulacion extendida) y MasLago (IPV reduce la sensibilidad de deteccion) respaldan que la ausencia de poliovirus concuerda con el contexto y exige metodos sensibles."
RES-ENT-05,CONFIRMADO,"""...ES programs must be developed in a manner that is sensitive"" (asghar-2014, p.2)","""...quantitative RT-PCR capable of amplifying all polioviruses through the use of degenerate (pan-poliovirus) primers has historically reported low sensitivity compared with that of cell culture"" (shaw-2020, p.2)","Asghar y Shaw respaldan que la deteccion ambiental de poliovirus es infrecuente y exige metodos sensibles."
RES-RSV-01,CONFIRMADO,"""Whole genomes (> 90% coverage) were obtained from 98% of samples with > 10,000 copies/mL... and from none with < 1,000 copies/mL."" (s41598-025-20371-5/Le, p.1)","""Whole genomes (> 90% coverage) were obtained from 98% of samples with > 10,000 copies/mL, from 3/14 samples with 1,000-10,000 copies/mL, and from none with < 1,000 copies/mL."" (s41598-025-20371-5, p.1)","Le respalda que la recuperacion de genomas de RSV requiere >10.000 copias/mL, coherente con la ausencia de caracterizacion en las muestras propias de baja carga."
RES-RSV-02,CONFIRMADO,"""...its concentration in settled solids is strongly associated (Kendall's tau = 0.65-0.77, p<10-7) with clinical positivity rates for RSV"" (hughes-2022, p.1)","""Respiratory syncytial virus wastewater data were positively correlated with the National Infectious Diseases Register-based sampling week incidence (correlation coefficient, CC min = 0.412, max = 0.865)"" (lansivaara-2024, p.1)","Hughes y Lansivaara respaldan la asociacion entre el ARN de RSV en aguas y la actividad clinica via cuantificacion (no secuenciacion), coherente con la senal propia sin caracterizacion."
RES-COMP-01,CONFIRMADO,"Ventanas temporales con escaso solapamiento (SARS sem 3-9; enterovirus feb 2026; RSV mar-abr 2026): dato propio","""...annual variation of the start and the end of the RSV season, it makes perfect sense that passive prophylaxis programs should be initiated according to the local RSV circulation [pattern]"" (parkins-2023, p.33)","La distribucion temporal es dato propio; Parkins respalda la variabilidad estacional de la circulacion de RSV, coherente con el contexto de ventanas por virus."
RES-SINT-01,CONFIRMADO,"Sintesis de resultados propios (recuperacion SARS en semanas de alta carga; Coxsackie A sin polio; RSV sin caract.; retrospectivas sin secuencia)","""...the genome coverage breadth obtained for hybrid-capture enrichment was considerably more variable (Fig. 4a and b), likely dependent on the variable concentration of SARS-CoV-2 RNA in the samples"" (child-et-al-2023, p.6)","La sintesis es dato propio; Child respalda que la recuperacion del genoma depende de la concentracion viral variable, coherente con el contraste por carga entre metodos."
