id,estado,evidencia_textual,refuerzo_pico,nota_contexto
INTROD-Secuenciacion-02,CONFIRMADO,"""NGS enables performing millions to billions of sequencing reactions simultaneously"" (Dash_2024, p.36); ""sequencing of millions of small fragments of DNA in parallel. Bioinformatics analyses are then used to piece together these fragments by mapping the individual reads to the human reference genome"" (Dash_2024, p.59)","""All NGS platforms perform the sequencing of millions of small fragments of DNA in parallel. Bioinformatics analyses are then used to piece together these fragments by mapping the individual reads to the human reference genome"" (Dash_2024, p.59 impreso / p.84 PDF)","Verificado literal: NGS masivamente paralela y reconstruccion bioinformatica contra referencia."
INTROD-Secuenciacion-03,CONFIRMADO,"""the ability to detect variants at lower allele frequencies than with Sanger [sequencing]"" (Dash_2024, p.36); ""higher discovery capability for detecting novel or rare variants"" (Dash_2024, p.59)","""Additional advantages of NGS include lower sample input requirements, higher accuracy, and the ability to detect variants at lower allele frequencies than with Sanger sequencing"" (Dash_2024, p.36 impreso / p.61 PDF)","La afirmacion literal del libro es sobre menor frecuencia alelica; 'linajes minoritarios/muestra mezcla' es interpretacion del autor de la tesis, coherente con la fuente."
INTROD-Secuenciacion-04,CONFIRMADO,"""sequencing methods are available, and they are defined as short-read and real-time [long-read technologies]"" (Dash_2024, p.36)","""long reading is possible with third-generation sequencing. It is faster than the systems of second-generation technology and allows the study of long DNA fragments without the need for amplification in PCR"" (Dash_2024, p.100 PDF)","Verificado literal: NGS por longitud de lectura, 2a gen (corta) y 3a gen (larga en tiempo real)."
INTROD-Nanopore-01,CONFIRMADO,"""The presence of a DNA molecule alters the ionic current by partially blocking the aperture"" (Dash_2024, p.86); ""the obtained current profile, called a 'squiggle', can be translated to a nucleotide sequence"" (Dash_2024, p.86); ""MinION, which weighs less than 0.5 kg"" (Dash_2024, p.87)","""In 2014, Oxford Nanopore Technologies released the MinION platform based on the transport of DNA through a nanopore membrane... The detection principle of nanopore systems is based on the ion current changing, which is generated when a charged molecule passes"" (Dash_2024, p.65 PDF)","Verificado: senal por cambio de corriente ionica, squiggle y MinION portatil de lecturas largas."
INTROD-Nanopore-02,CONFIRMADO,"""A total of 47 samples were collected using the 3D-printed passive devices. Of [these, only 36 could be sequenced]"" (MejiaCalle_2024, p.45); ""predominance of the Omicron variant... lineages such as HN.1, EG.5.1.6, XBB.1.5.1.5, and HV.1"" (MejiaCalle_2024, p.10)","""multiplex PCR was used for sequencing with Oxford Nanopore Technology. Bioinformatic analysis was conducted using Freyja. Results: A predominance of the Omicron variant was observed"" (MejiaCalle_2024, p.10)","Verificado: Nanopore en muestras pasivas de Quitumbe con asignacion de linajes y predominio de Omicron."
INTROD-Nanopore-03,CONFIRMADO,"""[whole-genome sequences] established linkage of isolates and confirmed transmission of a unique recombinant poliovirus lineage"" (Klapsa_2022, p.1531); ""a novel nanopore protocol to quickly generate whole-genome sequences"" (Klapsa_2022, p.1533)","""we additionally implemented direct molecular detection and determined whole-genome sequences of every isolate using novel nanopore protocols. Findings 118 genetically linked poliovirus isolates..."" (Klapsa_2022, p.1)","Verificado: protocolos Nanopore de genoma completo que establecieron el vinculo genetico entre aislamientos del alcantarillado de Londres."
INTROD-Nanopore-04,CONFIRMADO,"""New VDPV2 outbreaks were confirmed a median of 35 days... after paralysis onset, which we estimate could be reduced to 16 days by DDNS"" (Shaw_2022, p.453); ""negative results confirmed within 3 days rather than 2 weeks"" (Shaw_2022, p.461)","""The rapid turnaround of DDNS allows for multiple samples to be processed prior to a sequencing result being available via cell culture"" (Shaw_2022, p.461)","Verificado: Shaw argumenta que DDNS/Nanopore acorta la confirmacion de brotes."
INTROD-Nanopore-05,CONFIRMADO,"""Whole genomes (> 90% coverage) were obtained from 98% of samples with > 10,000 copies/mL"" (Le_2025, p.1); ""Complete genomes (coverages > 90%) were resolved from 118 of 122 (97%) samples with a viral load of > 10,000 copies/mL"" (Le_2025, p.4)","""Whole genomes (> 90% coverage) were obtained from 98% of samples with > 10,000 copies/mL, from 3/14 samples with 1,000-10,000 copies/mL, and from none with < 1,000 copies/mL"" (Le_2025, p.1)","Umbral (>10.000 copias/mL) y cobertura alta (>90%) exactos y verificados."
INTROD-Nanopore-06,CONFIRMADO,"""As the error rate of nanopore reads is higher compared to most NGS methods, a well-performing data-analysis workflow is crucial to obtain highly accurate consensus sequences, which can be compared to reference databases"" (Dash_2024, p.92)","""One drawback of nanopore sequencing is its relatively high error rate"" (Dash_2024, p.364 PDF)","Verificado: mayor tasa de error cruda de Nanopore y necesidad de flujo de analisis (consenso/comparacion con referencias) para mitigar el impacto."
INTROD-Nanopore-07,CONFIRMADO,"""[wastewater] samples containing variant mixtures"" (Child_2023, p.9); ""nucleic acid degradation in wastewater samples"" (Child_2023, p.11); ""depth was heavily skewed toward the 3' end of the genome"" (Child_2023, p.8)","""may have been caused by nucleic acid degradation in wastewater samples, which can restrict the contiguous binding of primer pairs to DNA/cDNA fragments"" (Child_2023, p.11)","Verificado (armado de pasajes): mezclas virales, ARN fragmentado y cobertura desigual entre amplicones en aguas residuales."
INTROD-Variabilidad-01,CONFIRMADO,"""Wastewater is an information-dense resource for estimating the prevalence of specific viral lineages"" (Karthikeyan_2022, p.107); ""Genome Sequencing of Sewage Detects Regionally Prevalent [SARS-CoV-2 variants]"" (Crits_Christoph_2021, p.1)","""the variants were within twofold of prevalence estimates observed in [clinical nasal swab data], suggesting that Freyja effectively identifies prevalence"" (Karthikeyan_2022, p.5)","Karthikeyan sostiene la estimacion de mezclas de linajes (Freyja) y Crits-Christoph la identificacion de variantes prevalentes de la region. Verificado."
INTROD-Variabilidad-02,CONFIRMADO,"""the use of an incorrect RSV subtype as a reference in the ARTIC pipeline significantly reduced read [mapping efficiency]"" (Le_2025, p.3); ""usage of the wrong reference sequence leads to read alignment coverage dropouts"" (Le_2025, p.3)","""To prevent incorrect G gene calling, an additional reference selection step was added into the workflow... As we observed differences in generated consensus sequences depending on the reference used"" (Le_2025, p.3)","Verificado: la clasificacion por subgrupo/clado en RSV depende de referencias adecuadas para evitar caidas de mapeo/asignaciones incompletas."
INTROD-Variabilidad-03,CORREGIDO,"""amplification of the virus protein 1 (VP1) region and/or the near whole genome region... followed by Sanger or Oxford nanopore technology (ONT) sequencing"" (Bottcher_2025, p.2); ""All cVDPV2 strains were genetically related to each other and showed 43-52 VP1 nt differences from the Sabin 2"" (Bottcher_2025, p.4)","""Most type 2 poliovirus isolates (n=98) are defined as vaccine-like poliovirus (fewer than six nucleotide changes in VP1 region), but some (n=20) are classified as vaccine-derived..."" (Klapsa_2022, p.5)","VP1 + genoma completo y la reconstruccion de vinculos entre detecciones estan soportados. La distincion de cepa 'salvaje' NO se demuestra: los datos de Bottcher y Klapsa son cVDPV2/Sabin-like/VDPV2; el poliovirus salvaje aparece solo como contexto de fondo. Debe suprimirse 'salvajes'."
INTROD-Variabilidad-04,CORREGIDO,"""Detecting variants and their relative abundance depends on software packages, such as ASPICov... Freyja"" (Parkins_2023, p.25)","""Only viral genomes with at least 10% breadth of genomic coverage obtained were reported"" (Crits_Christoph_2021, p.7)","De los cuatro criterios, solo 'abundancia relativa' es literal en Parkins (p.25) y 'cobertura/amplitud' se sostiene con el refuerzo de Crits (p.7). 'Profundidad' y 'calidad de lectura' no figuran en las fuentes citadas (Parkins/Child); deben retirarse o re-referenciarse."
INTROD-Variabilidad-05,CONFIRMADO,"""the focus on high viral load samples, may have limited the detection of lower-frequency lineages"" (MejiaCalle_2024, p.61); ""Due to the low read count, the detection was less precise... [variants] could only be resolved down to the parent variant B.D.4.1"" (Le_2025, p.6)","""the Ct values used to select sequenced samples likely prioritized those with higher viral loads, which may have excluded low-abundance lineages"" (MejiaCalle_2024, p.60)","Ambos autores reconocen la limitacion en muestras de baja carga (menor deteccion de linajes minoritarios). Verificado."
INTROD-Bioinformatica-01,CONFIRMADO,"""Bioinformatics analyses are then used to piece together these fragments by mapping the individual reads to the human reference genome"" (Dash_2024, p.59)","""the differences among NGS platforms in terms of data format, length of reads, etc. result in the need for diversity in bioinformatics tools to be used for sequence quality scoring, alignment, assembly, and data processing"" (Dash_2024, p.77 PDF)","Confirmado con caveat: Dash NO ofrece una definicion literal de 'bioinformatica'; el respaldo es funcional (mapeo de lecturas contra referencia; scoring de calidad, alineamiento, ensamblaje, procesamiento). La 'definicion' de la tesis es parafrasis valida y referenciada, no cita textual."
INTROD-Bioinformatica-02,CORREGIDO,"""nucleic acid degradation in wastewater samples"" (Child_2023, p.11); ""depth was heavily skewed toward the 3' end of the genome"" (Child_2023, p.8)","""Wastewater systems aggregate stool, urine and other biological waste products carrying viruses from multiple infected individuals in the community in a single location, allowing for sampling of virus mixtures"" (Karthikeyan_2022, p.3)","Material degradado y cobertura desigual son literales en Child. 'Mezclas de genomas de distintos individuos' NO esta enunciado asi en Child (solo implicito); esa idea debe atribuirse a Karthikeyan (p.3)."
INTROD-Procesamiento-01,CORREGIDO,"""Preprocessing the data to remove adapter sequences and low-quality reads, mapping the data to a reference genome or de novo alignment"" (Dash_2024, p.7); ""an 8-bp sequence that is used to demultiplex the sample data"" (Dash_2024, p.67); ""alignment of reads to a reference sequence; de novo assembly"" (Dash_2024, p.52)","""The major steps for sequencing are similar for all these platforms: Construction and amplification of DNA templates... base calling, quality control; and analysis of data... de novo sequencing and resequencing"" (Dash_2024, p.279 PDF)","Adaptadores, filtrado de calidad, mapeo, ensamblaje, demultiplexado y consenso estan soportados. 'Estimacion de la cobertura por posicion' NO tiene apoyo literal en Dash; debe retirarse o re-referenciarse."
INTROD-Procesamiento-02,CONFIRMADO,"""This process is called base calling and is performed by machine learning algorithms"" (Dash_2024, p.86); ""short DNA sequence reads (50-300 nucleotides)"" (Dash_2024, p.38); notacion Illumina ""2x75-2x300 bp"" (Dash_2024, Tabla 3.2, p.42)","""the obtained current profile, called a 'squiggle', can be translated to a nucleotide sequence... This process is called base calling and is performed by machine learning algorithms"" (Dash_2024, p.111 PDF)","Basecalling ONT y lecturas cortas Illumina (SBS) estan soportados. 'Pareadas/paired-end' se infiere de la notacion de la Tabla 3.2 (2x...bp indica pares), no de una frase en prosa; matiz aceptable."
INTROD-Procesamiento-03,CONFIRMADO,"""[metagenomic shotgun sequencing, hybrid-capture] enrichment, and targeted amplicon sequencing was compared for wastewater-based [surveillance]"" (Child_2023, p.10); ""Tiled-PCR sequencing led to further improvements in genome coverage compared [to hybrid capture]"" (Child_2023, p.1)","""Hybrid-capture enrichment improves genome coverage and increases the sensitivity of metagenomic sequencing of viruses in wastewater"" (Child_2023, p.5)","Verificado: Child compara los tres metodos y documenta diferencias marcadas en la cobertura de virus humanos."
INTROD-Procesamiento-04,CORREGIDO,"""In this study, we successfully assigned lineages to all sequenced samples by selecting them based on their Ct values obtained through qPCR"" (MejiaCalle_2024, p.58); ""the Ct values used to select sequenced samples likely prioritized those with higher viral loads"" (MejiaCalle_2024, p.60)","""this study did not detect cryptic lineages, which may be attributed to technical factors such as the prioritization of samples with higher viral loads (Ct values)"" (MejiaCalle_2024, p.61)","MejiaCalle asigno linajes a TODAS las muestras secuenciadas (preseleccionadas por Ct bajo); no atribuye a Freyja un requisito de 'carga alta + amplificacion eficiente'. La limitacion real fue la exclusion en la SELECCION de muestras de baja carga."
INTROD-Procesamiento-05,CORREGIDO,"""collection and use of wastewater-associated 'metadata' are often useful during quality assurance and data interpretation... Typical metadata include sample location, collection date and time, total volume collected..."" (Parkins_2023, p.10-11)","""these pipelines... rely on the underlying databases being continually updated"" (Parkins_2023, p.25)","El principio de metadatos y campos como ubicacion/fecha/volumen y la actualizacion de software estan soportados. La lista especifica 'metodo de concentracion, controles, Cq, plataforma, version de herramientas' NO figura en la enumeracion de metadatos de Parkins; conviene ajustar."
INTROD-CaractGenetica-01,CONFIRMADO,"""we developed Freyja, a tool to estimate the relative abundance of virus lineages in a mixed sample"" (Karthikeyan_2022, p.103); ""inability to estimate relative lineage abundance in mixed samples"" (Karthikeyan_2022, p.101)","""Our method, Freyja, deconvolutes these information-rich mixtures of virus lineages"" (Karthikeyan_2022, p.107)","Verificado: Freyja estima proporciones de linajes en muestras mixtas comparando lecturas/consensos con referencias."
INTROD-CaractGenetica-02,CONFIRMADO,"""Figure 11 shows a predominance of the BA.2.86 lineage, which belongs to the [Omicron variant]"" (MejiaCalle_2024, p.45); ""SARS-CoV-2 lineages from PTAR Quitumbe assigned by FREYJA"" (MejiaCalle_2024, Fig.11, p.47)","""PCR multiplex para secuenciacion con Oxford Nanopore Technology y los datos bioinformaticos fueron analizados en Freyja. Resultados: Se observo un predominio de la variante omicron"" (MejiaCalle_2024, p.8)","Verificado: en Quitumbe se uso Freyja para asignar linajes de Omicron (BA.2.86) a partir de datos ambientales."
INTROD-CaractGenetica-03,CORREGIDO,"""[the results] demonstrate genomic accuracy for recovery of consensus SARS-CoV-2 genomes so long as sufficient coverage is achieved"" (Crits_Christoph_2021, p.4); ""We obtained complete consensus SARS-CoV-2 genomes (breadth of coverage >99%) from 7 of 22 samples"" (Crits_Christoph_2021, p.3)","""Identification of alternative SARS-CoV-2 variants in wastewater populations recovers locally reported clinical genotypes"" (Crits_Christoph_2021, p.4)","Crits respalda la identificacion de variantes prevalentes de la region cuando hay cobertura suficiente, pero exige GENOMAS DE CONSENSO COMPLETOS (breadth >99%), no cobertura en 'posiciones informativas'. El concepto de sitios diagnosticos/mutaciones definitorias corresponde a Freyja/Karthikeyan, no a este paper."
INTROD-CaractGenetica-04,CONFIRMADO,"""an automatic RSV subtype detection as a first step before implementation of the ARTIC pipeline... the RSVTyper aligns all reads against a panel of RSV-A and RSV-B sequences"" (Le_2025, p.3); ""a final reference selection step that detects the most suitable reference"" (Le_2025, p.3)","""the RSVTyper pipeline, a tailored analysis pipeline including automatic reference selection, consensus sequence generation and clade assignment via Nextclade"" (Le_2025, p.1)","Verificado: RSVTyper realiza deteccion automatica de subgrupo y seleccion de referencia."
INTROD-CaractGenetica-05,CONFIRMADO,"""Phylogenetic analysis of complete VP1 sequences of viruses isolated from sewage samples in Mumbai and AFP cases... showed that viruses are exchanged between the commercial capital of India (Mumbai) and the other states"" (Asghar_2014, p.7)","""Extensive whole-genome characterisation of all 118 type 2 poliovirus isolates identified unique genetic features"" (Klapsa_2022, p.1536)","VP1 (Asghar) y VP1/genoma completo con vinculo entre aislamientos (Klapsa) estan bien soportados. Matiz: el termino 'diferenciacion intratipica' no aparece verbatim en el texto extraible de Asghar, aunque es el metodo estandar GPEI coherente con su alcance de vigilancia ambiental."
INTROD-CaractGenetica-06,CORREGIDO,"""many sequences could not be assigned, possibly due to coverage of amplicon regions not containing variations required for differentiation of genotypes"" (Child_2023, p.9); ""tiled-PCR sequencing can improve the resolution of variant detection... in wastewater samples containing variant mixtures"" (Child_2023, p.9)","""sequencing or demultiplexing errors can occur, and one way to evaluate this is by using bioinformatic negatives, which consist of using barcode/indices combinations different than the ones used for samples"" (Dash_2024, p.519 PDF)","Cobertura de regiones diagnosticas (Child p.9) y control de errores de secuenciacion/contaminacion via 'bioinformatic negatives' (Dash p.519) estan soportados. 'Concordancia entre replicas' y 'frecuencia relativa como umbral' NO se discuten como criterios en las fuentes citadas; deben retirarse."
INTROD-Interpretacion-01,CONFIRMADO,"""Concentrations of the RSV N gene in wastewater solids ranged from nondetect to 6.2 x 10^4 copies/g dry weight"" (Hughes_2022, p.176); ""The temporal trend in RSV RNA concentrations in settled solids mirrors state-wide trends in RSV positivity rate"" (Hughes_2022, p.176)","""Several studies have demonstrated that hospitalization rates correlate strongly with SARS-CoV-2 RNA measured in associated sewersheds, providing a variable lead time"" (Parkins_2023, p.6)","Hughes respalda la variacion de magnitud y el enfasis en tendencias; Parkins refuerza el valor de la correlacion/tendencia. La comparacion 'mas informativas que las lecturas aisladas' es inferencial pero coherente con las fuentes."
INTROD-Interpretacion-02,CONFIRMADO,"""untargeted metagenomic sequencing is likely to be insufficient for genomic surveillance... unless viral concentration can be enhanced further"" (Child_2023, p.10); ""[these methods] require prior knowledge of the target viral genome"" (Child_2023, p.1)","""This demonstrates the potential for this technique to be used for genomic surveillance of multiple pathogens of interest simultaneously, although this still requires prior knowledge of the targeted viral genomes"" (Child_2023, p.12)","Verificado plenamente: metagenomica shotgun insuficiente sin enriquecimiento; metodos dirigidos mejoran cobertura pero exigen conocimiento previo del genoma."
INTROD-Interpretacion-03,CONFIRMADO,"""only 36 samples could be sequenced, as the remaining 11 samples had very late CT values"" (MejiaCalle_2024, p.45); ""which impacted the detection of circulating lineages and led to the identification of primitive lineages"" (MejiaCalle_2024, p.61)","""Cabe destacar que la metodologia utilizada es altamente sensible a los cambios en los cebadores. Entre marzo y julio de 2024, los resultados no coincidieron con las muestras clinicas..."" (MejiaCalle_2024, p.9)","Verificado: Cq tardios reducen el exito de secuenciacion y los cambios de cebadores afectan la asignacion de linajes en Quitumbe."
INTROD-Interpretacion-04,CONFIRMADO,"""providing an integrated SARS-CoV-2 signal for the entire community served by that system"" (Parkins_2023, p.26); ""non-feces-containing wastewater from non-resident sources (i.e., commercial and industrial discharges)"" (Parkins_2023, p.11)","""they are held within geographically defined water catchment areas (watersheds) to which whole populations contribute"" (Sims_2020, p.5)","Bien soportado: senal comunitaria integrada, aportes no domesticos y necesidad de diseno/metadatos adicionales (Parkins); poblacion agrupada conectada al alcantarillado (Sims)."
