id,refuerzo_pico
MET-RSV-02,"PICOC[P: subgrupos RSV-A y RSV-B; I: esquema de cebadores pan-subtipo con referencia adecuada; C: entre subtipos/clados; O: evitar perdida de lecturas en el mapeo; C: diversidad de subgrupos] — ""evident that the use of an incorrect RSV subtype as a reference in the ARTIC pipeline significantly reduced read"" (Le_2025, p.3)"
MET-ELEC-01,"PICOC[P: productos de amplicones (ARTIC/VarSkip); I: electroforesis en gel de agarosa; C: —; O: verificacion de amplificacion exitosa; C: control de calidad pre-secuenciacion] — ""for successful amplification by agarose gel electrophoresis. PCR products for samples"" (Child_2023, p.15)"
MET-ELEC-02,"PICOC[P: virus a baja concentracion en aguas residuales; I: seleccion/descarte de muestras con baja amplificacion; C: metodo dirigido vs no dirigido; O: recuperacion de informacion genomica util; C: baja carga viral] — ""untargeted shotgun sequencing was unsuitable for genomic monitoring of the low virus concentrations in wastewater samples analyzed in this study."" (Child_2023, p.1)"
MET-BIBL-01,"PICOC[P: amplicones de ADN; I: preparacion de bibliotecas ONT (end-repair, barcoding, limpieza); C: —; O: bibliotecas para secuenciacion; C: flujo de amplicones] — ""library preparation (addition of a purification step between the end-preparation and the barcoding reactions, adaptation of elution volumes to maximize recovery)."" (Barbe_2022, p.4)"
MET-BIBL-02,"PICOC[P: bibliotecas multiplexadas; I: secuenciacion en plataformas ONT (MinION/GridION/PromethION); C: entre dispositivos por rendimiento; O: secuenciacion en tiempo real; C: laboratorio centralizado o portatil] — ""Devices capable of yielding higher throughputs than the MinION device, namely the GridION and the PromethION, are also available on the market."" (Dash_2024, p.110)"
MET-BIBL-03,"PICOC[P: amplicones de VP1 de poliovirus; I: preparacion de bibliotecas segun protocolo DDNS; C: —; O: secuenciacion multiplexada portatil; C: MinION] — ""we have developed a nested PCR with time- and cost-saving barcoded primers that allows multiplex sample sequencing on a portable MinION sequencer."" (Shaw_2020, p.12)"
MET-BIOINF-01,"PICOC[P: RSV (genoma completo) y poliovirus (VP1); I: flujos automatizados de tipificacion por amplicones; C: entre virus/regiones diana; O: caracterizacion genomica; C: secuenciacion ONT] — ""in this study offers a complete package to sequence RSV with an amplicon-based tiling approach using ONT."" (Le_2025, p.6)"
MET-BIOINF-02,"PICOC[P: lecturas de secuenciacion en matriz ambiental; I: control de calidad estricto; C: nanoporos vs otras plataformas NGS; O: manejo de la tasa de error; C: complejidad de aguas residuales] — ""One drawback of nanopore sequencing is its relatively high error rate."" (Dash_2024, p.364)"
MET-CTRL-01,"PICOC[P: reaccion de PCR/ensayo viral; I: inclusion de controles positivos (sembrado) y negativos; C: control + vs control -; O: verificacion del desempeno; C: validacion metodologica] — ""each assay included unseeded primary concentrate as a negative control and experiments were seeded with PV1 at least an order of"" (Falman_2019, p.9)"
MET-CTRL-02,"PICOC[P: SARS-CoV-2 y otros virus en aguas residuales; I: interpretacion de Cq tardio con menor peso; C: —; O: amplificacion/secuenciacion comprometida; C: baja carga, inhibidores y ARN degradado] — ""Recovery of replication-competent viruses from wastewater is particularly challenging owing to rapid degradation over time, inhibitory chemicals in the wastewater matrix"" (Parkins_2023, p.19)"
MET-ETICA-01,"PICOC[P: poblacion grande en aguas residuales a escala poblacional; I: analisis WBE con fines de salud publica; C: —; O: evaluacion bioetica sin objeciones mayores; C: cuatro principios de la bioetica] — ""Their analysis considered the principles of respect for autonomy, nonmaleficence (avoidance of harm or risk for participants), beneficence (benefits outweigh risks), and distributive justice (no groups are singled out)"" (Subedi_2019, p.19)"
MET-ETICA-02,"PICOC[P: poblaciones pequenas o sensibles; I: muestreo de aguas residuales; C: vs poblacion grande; O: riesgo de estigmatizacion del grupo; C: prisiones, trabajos, escuelas] — ""they cautioned the use of wastewater sampling on small or sensitive populations, such as prisons, places of work, and schools, where indirect harms, such as illicit drug use by some, could instigate policy measures that negatively affect the entire group."" (Subedi_2019, p.19)"
MET-ETICA-03,"PICOC[P: material potencialmente infeccioso (SARS-CoV-2) en aguas residuales; I: procesamiento con practicas de bioseguridad; C: —; O: contencion del riesgo de manejo; C: requerimiento de instalacion BSL-3] — ""None of the reported studies to date have provided information on the percent recovery of SARS-CoV-2 from wastewater due to the risk associated with handling SARS-CoV-2 and the requirements for a BSL-3 facility."" (Ahmed_2020, p.7)"
